TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO,TXs_LAST_1H,AMOUNT_LAST_1H,TX_HOUR,TX_DAY,TX_IS_WEEKEND,TX_HOUR_CATEGORY,AMOUNT_TO_AVG,AMOUNT_TO_AVG_DAY,AMOUNT_TO_AVG_WEEK,AMOUNT_TO_AVG_MONTH,CUSTOMER_STD,Z_SCORE,CUSTOMER_TX_FREQ,CUSTOMER_AVG_AMOUNT,TIME_SINCE_LAST_TX,NEW_TERMINAL_FLAG,MULTI_TERMINAL_FLAG,TERMINAL_FREQ,CUSTOMER_TERMINAL_FREQ,TIME_SINCE_LAST_TERMINAL_USE
111140,2024-04-24 08:07:35,1793,743,68.43,2016455,23,0,0,2,72.47,8,4,0,Morning,0.95,1.32,1.07,0.94,33.77,-0.11,291,72.16409,85.0,1,1,125,7,67959.0
312799,2024-06-05 09:53:04,2329,3853,48.58,5651584,65,0,0,3,152.57,9,4,0,Morning,1.06,1.04,1.02,1.06,20.7,0.14,259,45.765057,1593.0,1,1,68,7,89764.0
323063,2024-06-07 11:42:59,1522,573,0.89,5830979,67,0,0,2,5.3,11,6,1,Morning,0.16,0.2,0.17,0.16,2.48,-1.88,255,5.554863,30.0,1,1,65,8,23386.0
85193,2024-04-18 17:26:14,229,135,78.77,1531574,17,0,0,1,78.77,17,5,1,Afternoon,0.92,1.0,0.96,0.87,33.32,-0.22,96,86.02646,97812.0,1,0,78,3,27274.0
65223,2024-04-14 13:56:32,2357,2159,3.54,1173392,13,0,0,1,3.54,13,1,0,Afternoon,0.48,1.0,0.53,0.46,3.92,-1.0,35,7.452,418659.0,1,0,76,3,60281.0
357406,2024-06-14 14:21:58,2287,926,89.82,6445318,74,0,0,1,89.82,14,6,1,Afternoon,1.27,1.0,1.38,1.23,32.41,0.59,70,70.750854,191402.0,1,0,84,2,26081.0
157540,2024-05-03 19:19:44,1838,3025,96.42,2834384,32,0,0,1,96.42,19,6,1,Evening,1.73,1.29,1.92,1.89,22.83,1.78,143,55.678043,54644.0,1,0,61,4,134095.0
217243,2024-05-16 10:04:57,1621,1146,28.25,3924297,45,0,0,1,28.25,10,5,1,Morning,0.63,0.8,0.59,0.62,22.39,-0.73,237,44.69709,68974.0,1,0,44,6,91199.0
239932,2024-05-21 04:35:10,2446,235,36.7,4336510,50,0,0,1,36.7,4,3,0,Night,1.72,1.5,1.85,1.79,9.62,1.59,302,21.37106,58773.0,1,1,72,6,65470.0
271606,2024-05-27 14:42:43,2428,4476,133.75,4891363,56,0,0,1,133.75,14,2,0,Afternoon,1.32,0.76,1.03,1.19,42.01,0.76,102,101.63187,79634.0,1,0,82,3,89812.0
361689,2024-06-15 12:53:57,2335,2170,49.77,6526437,75,0,0,2,117.0,12,7,1,Afternoon,1.03,0.85,0.9,0.97,21.63,0.08,134,48.124554,599.0,1,0,100,2,5897.0
